,Title,ItemLink,Merchant,ItemPrice,Delivery
14,"Apple iPhone 11 64GB, 4G LTE (International Model) - Product Red - AfterPay ...",https://www.google.com/url?url=https://wisemarket.com.au/collection/product/apple-iphone-11/inventory/1192/PC&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQguUECL4O&usg=AOvVaw2bXVF1SJYpyR7xRkanW-JP,Wise Market Australia,$513.00,Free delivery
15,"Apple iPhone 11 (64GB, Black) Australian Stock - As New",https://www.google.com/url?url=https://www.ozsale.com.au/product.aspx%3FsaleID%3D5a93862c-8baa-42b2-a4ed-1332358f53d9%26productID%3D5382e1a0-036e-4853-b2ae-2bba268aa160%26sc%3D7%26c%3D1203&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECM0O&usg=AOvVaw3Bf8Vn4GI4SWm6fFGIY1bS,Ozsale,$822.00,Free delivery
16,Apple iPhone 11 - 64GB - White - Certified Quality,https://www.google.com/url?url=https://www.reebelo.com.au/collections/apple-iphone-11%3Fstorage%3D64GB%26color%3DWhite%26condition%3DGood%26id%3D34457&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECNoO&usg=AOvVaw1T1E86OLdih0GvnqUkAXTw,Reebelo Australia,$542.00,Free delivery and free 14-day returns
17,Apple iPhone 11 64GB Refurbished - White White,https://www.google.com/url?url=https://bestbuys.coles.com.au/products/apple-iphone-11-64gb-refurbished-white%3Fvariant%3D39743336153171%26currency%3DAUD%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECOgO&usg=AOvVaw24QJfpJBUUrRFoL3R_-6dg,Coles Best Buys,$629.00,Free delivery
18,Apple iPhone 11 A2221 64GB Matte Black (Good Condition) Refurbished AU Model,https://www.google.com/url?url=https://www.kogan.com/au/buy/certified-tech-direct-apple-iphone-11-a2221-64gb-black-good-condition-au-model-ipha2221blk64gbu/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECPcO&usg=AOvVaw3r74x-lBS-iACrA3avPspN,Kogan.com,$584.00,Free delivery
19,Apple iPhone 11 Pro Max - 4G smartphone - dual-SIM - 64 GB - OLED display - 6.5 ...,https://www.google.com/url?url=https://www.dicksmith.com.au/da/buy/skyphonez-apple-iphone-11-pro-max-4gb64gb-refurbished-fair-condition-gold-apiphone11promaxrffr64gbgld/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQguUECIcP&usg=AOvVaw1xFMSIXbyKV0wrRPd2Umza,Dick Smith AU,$775.00,Free delivery
20,Apple iPhone 11 White 64GB (Good Condition) AU Model,https://www.google.com/url?url=https://www.certifiedtechdirect.com/apple-iphone-11-white-64gb-used-condition-au-model&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECJcP&usg=AOvVaw27YXKhtbC4qbnn0uIT8B5-,CertifiedTechDirect,$584.00,Free delivery
21,Apple iPhone 11 64GB Green - Good Condition,https://www.google.com/url?url=https://www.kogan.com/au/buy/aualg-apple-iphone-11-64gb-green-refurbished-fair-iph1164grnd/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECKUP&usg=AOvVaw2_eul7Hv-AElbbjTCJCd2f,Kogan.com,$549.00,Free delivery
22,"Apple iPhone 11 (64GB, White) Australian Stock - Grade (Excellent)",https://www.google.com/url?url=https://www.ozsale.com.au/product.aspx%3FsaleID%3D5a93862c-8baa-42b2-a4ed-1332358f53d9%26productID%3D519118e2-f841-4815-91d9-9c17d91c189a%26sc%3D7%26c%3D1203&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECLMP&usg=AOvVaw0rCnFflZTvKI1qPnY79HFr,Ozsale,$557.00,Free delivery
23,Apple iPhone 11-64GB-Black-Fair,https://www.google.com/url?url=https://wisemarket.com.au/collection/product/apple-iphone-11/inventory/2612/SKY&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECMAP&usg=AOvVaw33DuLtfkS6iFzm-D6x7xDI,Wise Market Australia,$515.00,Free delivery
24,Apple iPhone 11 Pro Max,https://www.google.com/url?url=https://swapgears.com.au/refurbished-apple-iphone-11-pro-max&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECM4P&usg=AOvVaw1mRciGOKqD_cVfH7Uv8VQ4,Swapgears,$423.50,Free delivery
25,"Apple iPhone 11 (64GB, Black) Australian Stock - Refurbished (Excellent)",https://www.google.com/url?url=https://www.kogan.com/au/buy/eclipsetechnology-apple-iphone-11-australian-stock-64gb-black-refurbished-excellent-ip1164gbblackaustock-rd-exd/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECNwP&usg=AOvVaw0Xq8t_T2sea32-xb6rU0rH,Kogan.com,$569.00,Free delivery
26,"Apple iPhone 11 64GB Black - Good Condition (Refurbished) Afterpay, Zip, Openpay ...",https://www.google.com/url?url=https://www.mydeal.com.au/apple-iphone-11-64gb-black-good-condition-refurbished-6553560&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECOoP&usg=AOvVaw3JQNIkP74AwMgMCieoLSWH,MyDeal,$535.00,Free delivery
27,Apple Iphone 11 64gb - All Colours - Excellent Condition,https://www.google.com/url?url=https://www.ebay.com.au/itm/185036485708%3Fchn%3Dps%26_ul%3DAU%26mkevt%3D1%26mkcid%3D28%26var%3D692817896304&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECPcP&usg=AOvVaw3uW5gkWsU5b_w7GCrR5Jcw,eBay.com.au,$575.00,Free delivery
28,Apple iPhone 11 | Refurbished 64GB / Red / Good by Green Gadgets,https://www.google.com/url?url=https://shop.greengadgets.net.au/products/apple-iphone-11%3Fvariant%3D32474004324455%26currency%3DAUD%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECIUQ&usg=AOvVaw0FB7EvzsU1D9DSOtBNxHDK,Green Gadgets,$539.00,Free delivery
29,iPhone 11 Refurbished - Unlocked - 64GB - 256GB - 12 Months Warranty,https://www.google.com/url?url=https://mobilefederation.com.au/Model/iPhone%252011&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECJMQ&usg=AOvVaw10_ia9TVO_DHioEX7YAmdE,Mobile Federation,$579.00,Free delivery
30,Apple iPhone 11 64GB Purple - Refurbished (Good),https://www.google.com/url?url=https://www.kogan.com/au/buy/aualg-iphone-11-64gb-purple-refurbished-fair-grade-iph1164prpd/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECKEQ&usg=AOvVaw2xzQ6d-9lp6jdR9mRgPZue,Kogan.com,$549.00,Free delivery
31,"Apple iPhone 11 (64GB, Purple) - Refurbished (Excellent)",https://www.google.com/url?url=https://www.ozsale.com.au/product.aspx%3FsaleID%3D5a93862c-8baa-42b2-a4ed-1332358f53d9%26productID%3D66795f10-f827-480c-bef3-31488912f027%26sc%3D7%26c%3D1203&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECK8Q&usg=AOvVaw2XMihoxObVeR9VDB_s7Vc-,Ozsale,$568.00,Free delivery
32,Apple Iphone 11 64gb Purple Unlocked Fair Condition,https://www.google.com/url?url=https://www.ebay.com.au/itm/275178990503%3Fchn%3Dps%26_ul%3DAU%26mkevt%3D1%26mkcid%3D28&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECL0Q&usg=AOvVaw3yGGznb8t81kdwD4gZe3sq,eBay.com.au - itsworthmore,$412.75 + tax,Free delivery
33,Apple iPhone 11 64GB - Black,https://www.google.com/url?url=https://skyphonez.com.au/product/apple-iphone-11-64gb-black-good-grade/%3Futm_source%3DGoogle%2BShopping%26utm_medium%3Dcpc%26utm_campaign%3DGoogle%2BFeed%2B&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjs5PS3_ML3AhVITd8KHVGECZkQgOUECMwQ&usg=AOvVaw326rzBwaJdj05_eAtnWJoa,Skyphonez.com.au,$654.00,Free delivery
